UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO
PE,ARCOVERDE,30191,13736,0,1268,127,2292,528,0,919,213,8587,1465,157,0,491,188,0,0,0,0,21,199
PE,BARRA DE GUABIRABA,2165,953,0,77,1,176,30,0,6,25,797,40,18,0,29,9,0,0,0,0,1,3
PE,BARREIROS,9838,3895,0,284,16,426,200,0,441,67,3674,431,86,0,258,21,1,0,0,0,6,32
PE,BELEM DE MARIA,2105,865,0,94,6,134,49,0,10,46,765,75,18,0,33,5,0,0,0,0,1,4
PE,BELEM DE SAO FRANCISCO,4742,1424,0,116,5,369,46,0,14,36,2388,217,28,0,77,7,0,1,0,0,3,11
PE,BELO JARDIM,30564,9934,0,934,118,1945,541,0,815,445,12670,2475,118,0,238,218,0,0,0,0,7,106
PE,BETANIA,3039,688,0,55,0,176,23,0,4,23,1994,40,16,0,16,2,0,0,0,0,1,1
PE,BEZERROS,25083,8835,0,909,69,1471,490,1,172,173,10147,2218,123,0,235,114,0,1,0,0,20,105
PE,BODOCO,9573,1760,0,252,7,691,53,0,22,16,6526,145,30,0,54,10,0,0,0,0,0,7
PE,BOM CONSELHO,13185,3453,0,346,15,907,121,1,28,74,7160,591,50,0,201,208,0,0,0,0,6,24
PE,BOM JARDIM,10290,4324,0,303,2,616,305,0,84,316,3953,211,86,0,64,7,0,0,0,0,0,19
PE,BONITO,8825,3710,0,411,14,737,171,0,30,110,3125,304,55,0,96,22,0,0,0,0,0,40
PE,BREJAO,1904,627,0,71,1,163,12,0,2,29,887,69,16,0,13,11,0,0,0,0,0,3
PE,BREJINHO,1711,507,0,58,3,143,17,0,5,19,892,46,8,0,13,0,0,0,0,0,0,0
PE,BREJO DA MADRE DE DEUS,14605,3377,0,465,13,1496,143,0,45,458,7315,1067,26,0,144,26,1,0,0,0,2,27
PE,BUENOS AIRES,2724,1021,0,63,9,194,57,0,26,17,1217,68,25,0,20,3,0,0,0,0,1,3
PE,BUIQUE,9181,3080,0,289,14,870,104,0,183,133,4237,103,62,0,62,23,0,0,0,0,3,18
PE,CABO DE SANTO AGOSTINHO,56143,28812,0,1553,847,2730,1972,0,1456,283,14772,648,565,0,1148,1049,0,2,0,6,14,286
PE,CABROBO,10813,3071,0,295,21,619,56,0,144,25,5995,384,32,0,114,39,0,0,0,0,1,17
